날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2025-01-02,10872.09,10540,10880,10540,10860,83993,907092545,2249.54
2025-01-03,11025.94,10895,11100,10870,11025,446256,4909304545,2281.64
2025-01-06,11096.73,11035,11075,10960,11065,52228,576018490,2296.39
2025-01-07,11558.05,11260,11600,11260,11535,109831,1259818545,2392.73
2025-01-08,11829.85,11660,11905,11520,11795,142429,1670208640,2449.52
2025-01-09,11873.77,11730,11880,11550,11880,67443,791624160,2458.56
2025-01-10,11856.3,11870,11895,11715,11860,51477,606186140,2455.18
2025-01-13,11960.73,11910,11975,11755,11965,77718,924739950,2476.96
2025-01-14,12302.86,11995,12420,11995,12265,117079,1438738515,2548.08
2025-01-15,12649.47,12400,12695,12330,12660,323142,4068255685,2620.25
2025-01-16,12856.81,12715,12860,12495,12860,193380,2445982165,2663.43
2025-01-17,12787.37,12860,12860,12655,12770,250384,3190417855,2649.12
2025-01-20,12722.96,12795,12835,12585,12730,194120,2465533280,2635.28
2025-01-21,12858.29,12795,12920,12715,12845,212998,2724265090,2663.89
2025-01-22,12774.18,12875,13100,12750,12755,241640,3123889920,2646.41
2025-01-23,12496.39,12860,12865,12460,12505,112368,1416806025,2588.64
2025-01-24,13171.76,12620,13180,12560,13160,204186,2643950605,2729.32
2025-01-31,12975.12,13165,13290,12900,12985,164572,2153346735,2688.44
2025-02-03,12748.56,12770,12845,12600,12715,155189,1970878635,2641.32
2025-02-04,13313.09,12945,13375,12910,13320,129270,1694638760,2758.8
2025-02-05,13149.81,13405,13480,13025,13115,263397,3462013565,2724.81
2025-02-06,13644.5,13140,13825,13070,13635,363649,4918990860,2827.8
2025-02-07,13534.59,13635,13765,13390,13535,512895,6949903040,2805.26
2025-02-10,13183.52,13645,13665,13120,13155,207782,2798707525,2731.97
2025-02-11,14262.73,13700,14290,13665,14230,819117,11486168905,2956.45
2025-02-12,15698.53,14410,15825,14410,15650,841911,12679011730,3255.76
2025-02-13,16705.83,15835,16860,15445,16665,2465159,40274503480,3466.42
2025-02-14,16632.35,16705,17045,16050,16590,1398109,23129261815,3449.94
2025-02-17,17141.33,16470,17455,16380,17155,1061119,18084053570,3556.49
2025-02-18,17823.35,17495,17985,17400,17765,1514022,26758778380,3698.51
2025-02-19,17663.81,17850,17860,17500,17650,834930,14746099195,3665.31
2025-02-20,16911.65,17340,17445,16515,16860,948296,16056946800,3508.59
2025-02-21,16956.03,16480,17125,16365,16965,477230,8045552790,3517.9
2025-02-24,16697.45,16950,17120,16410,16700,384527,6426524355,3464.22
2025-02-25,17138.82,16550,17180,16440,17125,294422,4956102675,3555.41
2025-02-26,16948.49,17270,17320,16770,16945,450359,7645746070,3515.55
2025-02-27,16951.91,17020,17240,16790,16945,560718,9517513555,3516.22
2025-02-28,16387.95,16830,16935,16345,16420,501820,8314629615,3399.05
2025-03-04,17942.73,16010,18090,16010,17895,730223,12851279187,3722.96
2025-03-05,17733.67,17890,17940,17230,17735,621950,10935669320,3679.17
2025-03-06,17594.98,17960,17960,17505,17580,287107,5072686254,3650.32
2025-03-07,18348.34,17580,18555,17375,18330,604527,10895449265,3807.24
2025-03-10,18323.58,18400,18600,17725,18325,445012,8151275247,3802.09
2025-03-11,17842.37,17650,18035,17525,17860,319435,5684656718,3702.11
2025-03-12,17159.11,17865,18160,16980,17110,2216287,38974576558,3561.26
2025-03-13,17645.92,17495,17860,17445,17565,927429,16341557219,3661.33
2025-03-14,17809.6,17525,17885,17520,17810,263958,4668017631,3695.97
2025-03-17,18405.95,17810,18540,17785,18370,338003,6185649885,3819.87
2025-03-18,19124.99,18840,19265,18750,19085,803555,15272905306,3969.61
2025-03-19,19127.31,19350,19445,18890,19130,399065,7639522463,3969.66
2025-03-20,18153.21,19130,19130,18095,18180,441406,8111535576,3766.97
2025-03-21,16970.12,16865,17235,16450,17015,883727,14923791230,3521.03
2025-03-24,17321.91,17020,17450,17020,17305,320310,5535065762,3594.63
2025-03-25,16679.33,17435,17485,16550,16670,349901,5907620059,3460.65
2025-03-26,16965.13,16650,17025,16310,16935,395282,6620114910,3519.6
2025-03-27,16576.72,17015,17110,16475,16590,234073,3918127597,3439.55
2025-03-28,16182.18,16830,16830,16040,16105,252065,4110847274,3357.21
2025-03-31,16112.93,15735,16325,15665,16055,370619,5949699225,3342.85
2025-04-01,16901.7,16670,17060,16535,16905,479584,8077250625,3506.99
2025-04-02,16766.01,17250,17250,16685,16770,281552,4759051648,3478.44
2025-04-03,17184.47,16445,17315,16395,17150,630708,10733944403,3565.8
2025-04-04,16989.58,17075,17500,16455,17000,556750,9443298394,3524.96
2025-04-07,15560.14,16155,16345,15315,15565,347151,5481605466,3227.7
2025-04-08,16448.77,16345,16530,16125,16460,283519,4636213876,3412.54
2025-04-09,16255.28,16855,16855,16060,16270,226728,3693051675,3372.38
2025-04-10,17403.63,17475,17475,16980,17375,257039,4426194865,3611.76
2025-04-11,18173.78,17375,18150,17235,18150,460149,8190221852,3772.01
2025-04-14,18633.25,18540,18750,18400,18640,553355,10288050740,3867.53
2025-04-15,18503.36,18640,18700,18365,18465,165331,3060479440,3840.58
2025-04-16,18347.57,18190,18605,18150,18360,306091,5638511618,3808.3
2025-04-17,18896.11,18405,18895,18335,18875,208035,3879038896,3922.27
2025-04-18,19025.55,18895,19320,18885,19040,289764,5523916078,3949.32
2025-04-21,19061.54,19220,19270,18810,19050,215258,4098115912,3956.88
2025-04-22,19183.33,18950,19360,18950,19200,185284,3546662656,3982.18
2025-04-23,19159.13,19500,19550,19070,19135,485489,9376289529,3977.1
2025-04-24,19615.55,19305,19635,19090,19635,288243,5580299194,4072.39
2025-04-25,20643.5,19900,20630,19840,20600,381169,7755915946,4286.45
2025-04-28,20851.22,21200,21220,20600,20900,497545,10425734234,4342.13
2025-04-29,19879.3,20140,20155,19470,19880,546928,10808433681,4139.8
2025-04-30,19778.08,20050,20050,19195,19730,531606,10486050431,4118.34
2025-05-02,20154.64,19825,20210,19550,20150,311148,6210821805,4197.14
2025-05-07,20901.59,20350,20900,20340,20900,302396,6212227280,4352.86
2025-05-08,21147.23,20915,21345,20650,21120,350233,7395164258,4404.14
2025-05-09,21383.93,21415,21545,21200,21400,349516,7467174905,4453.5
2025-05-12,20359.49,21400,21420,20210,20365,481313,10021927748,4239.52
2025-05-13,20511.08,19965,20690,19675,20495,703621,14301773210,4271.66
2025-05-14,21126.27,20785,21220,20785,21075,453982,9575346523,4400.01
2025-05-15,21272.9,21260,21280,20880,21255,274792,5795166220,4430.44
2025-05-16,21610.6,21275,21775,21275,21580,314942,6801255480,4501.29
2025-05-19,21297.23,21450,21875,21095,21265,306585,6555003438,4436.2
2025-05-20,20757.8,21325,21325,20695,20760,307562,6443098693,4322.95
2025-05-21,21418.03,20780,21390,20780,21370,246444,5219411234,4461.57
2025-05-22,20657.19,21215,21215,20590,20660,250389,5232572825,4306.21
2025-05-23,20319.91,20590,20620,20130,20275,246231,4987878606,4234.13
2025-05-26,20571.22,19955,20495,19945,20495,265444,5376138861,4287.12
2025-05-27,21147.6,20560,21170,20505,21110,237611,4973803253,4407.26
2025-05-28,20665.1,21125,21565,20550,20590,348523,7349592777,4306.56
2025-05-29,21278.2,20910,21375,20765,21235,523725,11091534848,4434.91
2025-05-30,20946.71,21315,21400,20730,20935,233291,4895840613,4365.12
2025-06-02,21022.67,20915,21200,20805,20990,162044,3401889379,4381.49
2025-06-04,21665.99,21200,21735,21000,21590,324803,6961181421,4516.05
2025-06-05,22111.11,21565,22325,21565,22120,449582,9887719150,4609.17
2025-06-09,21727.05,22090,22090,21460,21735,286509,6223178971,4529.05
2025-06-10,22903.75,21965,22870,21850,22860,411830,9250267595,4774.8
2025-06-11,23414.88,23430,23430,22730,23400,319528,7392668645,4881.71
2025-06-12,24040.0,23400,24295,23390,24000,388364,9279023140,5013.41
2025-06-13,23833.94,24000,24045,23465,23895,339023,8064010922,4970.16
2025-06-16,25106.72,24055,25140,24055,25125,364507,8999528628,5236.14
2025-06-17,25245.0,25125,25485,24530,25135,597928,15026868147,5265.5
2025-06-18,25117.93,25250,25550,25050,25080,431846,10908585913,5238.1
2025-06-19,24915.74,25155,25300,24380,24920,546777,13553806918,5195.76
2025-06-20,24591.41,24645,24950,24210,24570,368987,9083585954,5126.86
2025-06-23,24296.92,24570,24640,24205,24315,448398,10907106731,5066.46
2025-06-24,24190.14,24170,24560,23860,24140,429425,10380113660,5044.56
2025-06-25,23364.28,24395,24540,23295,23300,458765,10865714262,4871.76
