날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2025-01-02,11462.03,11385,11420,11385,11420,244,2782095,1129.8
2025-01-03,11923.65,11710,11895,11710,11875,1734,20503110,1176.32
2025-01-06,12119.07,11875,12080,11875,12025,368,4401090,1195.84
2025-01-07,12149.07,12040,12175,12040,12100,1203,14569480,1199.02
2025-01-08,12185.86,12050,12140,12040,12130,29,350655,1202.42
2025-01-09,12248.21,12300,12300,12060,12160,1512,18297170,1208.58
2025-01-10,12084.6,12145,12145,12000,12065,219,2631620,1192.29
2025-01-13,11869.19,11950,12030,11785,11845,275,3275345,1170.54
2025-01-14,12098.9,11935,12065,11855,12040,490,5844125,1193.46
2025-01-15,11964.69,12190,12190,11900,11950,410,4905740,1180.01
2025-01-16,12229.18,12090,12255,12075,12200,336,4095140,1206.83
2025-01-17,12228.26,12185,12200,12140,12200,271,3292360,1206.74
2025-01-20,12331.02,12225,12300,12175,12290,879,10769095,1216.74
2025-01-21,12304.01,12320,12415,12130,12250,463,5667565,1214.27
2025-01-22,12446.36,12330,12435,12330,12400,140,1736865,1228.58
2025-01-23,12352.17,12405,12405,12295,12345,242,2982840,1219.46
2025-01-24,12449.68,12355,12495,12295,12445,415,5140225,1229.64
2025-01-31,12485.87,12370,12455,12340,12455,305,3780855,1233.16
2025-02-03,11981.67,12160,12165,11865,11965,1847,22106880,1182.37
2025-02-04,12306.49,12045,12440,12045,12255,883,10849275,1215.15
2025-02-05,12504.88,12350,12495,12350,12475,818,10177445,1234.84
2025-02-06,12680.9,12555,12660,12540,12660,458,5781750,1252.92
2025-02-07,12734.22,12610,12745,12590,12710,819,10358910,1258.26
2025-02-10,12823.63,12650,12830,12510,12830,77,980610,1267.67
2025-02-11,12772.42,12830,12865,12730,12745,783,10012810,1262.32
2025-02-12,12722.13,12720,12720,12625,12710,298,3765380,1257.43
2025-02-13,12764.77,12745,12825,12665,12700,767,9750405,1261.08
2025-02-14,12986.88,12765,13000,12765,12950,2954,38114375,1283.15
2025-02-17,13189.72,12980,13145,12970,13145,517,6754050,1303.25
2025-02-18,13239.11,13150,13175,13050,13175,608,7956920,1307.98
2025-02-19,13333.82,13180,13320,13180,13285,39780,527184205,1317.33
2025-02-20,13150.87,13300,13370,13070,13110,1083,14306355,1298.81
2025-02-21,13305.67,13120,13285,13110,13270,1691,22284795,1314.41
2025-02-24,13330.41,13130,13295,13070,13295,217,2852415,1316.41
2025-02-25,13246.99,13150,13330,13130,13240,428,5660830,1309.67
2025-02-26,13280.89,13210,13330,13155,13240,654,8659280,1312.99
2025-02-27,13354.84,13260,13400,13260,13345,1874,24972125,1320.41
2025-02-28,12774.64,13120,13120,12750,12885,959,12329370,1262.71
2025-03-04,12712.73,12695,12705,12520,12705,2093,26349515,1256.72
2025-03-05,12853.23,12800,12900,12730,12815,557,7131020,1270.82
2025-03-06,12526.11,12875,12875,12475,12520,1438,18066327,1237.91
2025-03-07,12407.03,12430,12580,12340,12385,1442,17959795,1226.19
2025-03-10,12316.74,12310,12470,12160,12310,2950,36277040,1217.03
2025-03-11,12208.63,11945,12205,11915,12205,2310,27946590,1206.16
2025-03-12,12340.65,12195,12400,12195,12305,3237,39962035,1219.36
2025-03-13,12188.27,12385,12440,12155,12155,2653,32510655,1204.19
2025-03-14,12397.15,12220,12445,12220,12360,4874,60218750,1225.12
2025-03-17,12712.42,12435,12655,12370,12655,1437,17876967,1256.72
2025-03-18,12751.74,12715,12735,12625,12710,484,6140145,1260.7
2025-03-19,12570.12,12660,12740,12515,12565,742,9355750,1242.47
2025-03-20,12254.64,12620,12620,12210,12210,1875,23327800,1210.9
2025-03-21,12076.42,12025,12105,11945,12000,2323,27867262,1193.0
2025-03-24,12127.96,12110,12240,12060,12120,9154,111270655,1198.21
2025-03-25,11967.82,12175,12175,11905,11920,2086,25207555,1182.19
2025-03-26,12045.78,12030,12045,11785,12040,404,4795445,1190.14
2025-03-27,11888.15,11910,12050,11850,11860,1295,15481490,1173.97
2025-03-28,11644.37,11760,11775,11590,11630,1396,16347110,1149.26
2025-03-31,11278.98,11310,11520,11235,11285,2409,27316235,1112.89
2025-04-01,11620.98,11345,11710,11335,11610,171,1967950,1146.96
2025-04-02,11460.03,11610,11625,11360,11440,512,5846852,1130.35
2025-04-03,11446.41,11060,11445,11060,11445,334,3790680,1129.17
2025-04-04,11534.54,11280,11790,11275,11530,1336,15398273,1137.7
2025-04-07,10871.27,11275,11275,10875,10875,6892,76230730,1070.9
2025-04-08,11025.64,11140,11205,10970,11025,14336,159285050,1086.85
2025-04-09,10732.0,10975,10975,10620,10720,4016,43148475,1057.33
2025-04-10,11429.2,11365,11440,11155,11340,561,6311848,1127.32
2025-04-11,11651.85,11230,11615,11220,11580,1503,17372746,1149.67
2025-04-14,11871.25,11695,11860,11640,11840,1338,15715446,1171.78
2025-04-15,11864.39,11810,11850,11700,11840,473,5574090,1171.18
2025-04-16,11566.97,11740,11770,11505,11530,448,5203767,1141.32
2025-04-17,11824.52,11600,11795,11600,11790,528,6194544,1167.06
2025-04-18,11956.59,11795,11910,11730,11895,202,2380110,1180.25
2025-04-21,11840.84,11850,11965,11760,11830,676,8025820,1168.69
2025-04-22,11865.84,11760,11865,11750,11820,72,850390,1171.16
2025-04-23,12102.53,12005,12070,11945,12065,387,4641630,1194.96
2025-04-24,12085.34,12070,12100,11990,12030,123,1483105,1193.09
